大分類,商品ID,売上
"食品",9902142,7434
"バッグ",9937845,348
"食品",9902517,5392
"バッグ",9903878,444
"化粧品",9922209,5928
"化粧品",9903713,47178
"化粧品",9910507,26542
"食品",9905746,28910
"バッグ",9903857,479
"食品",9937846,998
"化粧品",9926797,1095
"化粧品",9920245,7584
"化粧品",9937847,4000
"化粧品",9905265,1217
"バッグ",9910070,3450
"化粧品",9900189,86942
"化粧品",9903627,112805
"食品",9905277,7089
"バッグ",9915636,8061
"食品",9904149,13500
"化粧品",9900023,14223
"バッグ",9912183,7827
"化粧品",9902475,31680
"化粧品",9913377,6400
"食品",9900883,6251
"食品",9900388,506626
"食品",9902374,288150
"食品",9900389,15621
"バッグ",9937850,300
"化粧品",9910810,17386
"バッグ",9900828,78400
"バッグ",9905570,26493
"化粧品",9900650,491760
"化粧品",9900990,33692
"バッグ",9903023,11648
"化粧品",9900604,3290
"食品",9911549,10944
"化粧品",9918654,10653
"化粧品",9900567,18026
"化粧品",9905615,41868
"化粧品",9907258,22200
"食品",9903110,89628
"化粧品",9900227,363848
"化粧品",9900277,139903
"食品",9904282,23003
"食品",9900318,43650
"化粧品",9903641,30604
"バッグ",9905109,31398
"化粧品",9900449,609430
"化粧品",9907259,4700
"バッグ",9914884,144900
"化粧品",9926600,1392
"化粧品",9900217,2985007
"化粧品",9937858,23465
"化粧品",9937857,90936
"バッグ",9901412,173779
"食品",9919308,4176
"バッグ",9904173,5726
"食品",9937859,5311
"化粧品",9907671,4856
"食品",9924134,5668
"化粧品",9915831,1247
"化粧品",9911798,536
"化粧品",9937861,1449
"化粧品",9923079,11264
"化粧品",9911797,2935
"バッグ",9936484,8136
"化粧品",9903975,105600
"化粧品",9901255,249337
"化粧品",9902991,56958
"化粧品",9905882,41663
"化粧品",9906228,15156
"食品",9901058,43377
"食品",9902232,33994
"バッグ",9900508,15834
"バッグ",9900503,9669
"化粧品",9914641,4609
"化粧品",9901010,1067875
"化粧品",9903982,42462
"化粧品",9902308,5193
"化粧品",9901787,11548
"化粧品",9926857,4032
"バッグ",9901912,152898
"バッグ",9905889,24096
"バッグ",9904292,14359
"化粧品",9901756,67656
"バッグ",9907801,821
"化粧品",9900075,2480
"バッグ",9904988,53640
"化粧品",9900270,88309
"食品",9900219,301880
"食品",9919500,1533
"バッグ",9917421,547
"食品",9907829,22774
"バッグ",9900307,158209
"バッグ",9900013,117648
"化粧品",9905867,6441
"化粧品",9909221,4726
"バッグ",9916327,1381
"バッグ",9937864,2317
"バッグ",9905333,1858
"バッグ",9900741,371643
"化粧品",9905677,5475
"食品",9900174,45367
"バッグ",9918958,2891
"食品",9908201,16202
"バッグ",9937868,400
"化粧品",9909288,4810
"化粧品",9904960,3546
"化粧品",9909359,99104
"食品",9905222,36105
"バッグ",9902317,30640
